coin,ext_atr_at_entry,rsi_at_entry,max_adverse_pct,duration_h,return_pct,layers
LINK,2.55,59.9,3.24,11,2.97,3
LINK,2.609,59.9,1.37,2,2.97,1
LINK,2.614,59.9,4.11,26,2.97,3
LINK,2.623,56.6,1.15,6,2.97,1
LINK,2.71,57.4,8.48,80,2.97,3
LINK,2.976,60.3,1.27,4,2.97,1
LINK,3.061,68.8,2.0,9,2.97,2
LINK,0.323,42.3,0.0,1,2.97,1
LINK,0.791,42.3,0.85,2,2.97,1
LINK,0.798,42.3,1.68,3,2.97,2
LINK,0.938,42.3,5.39,7,2.97,3
LINK,1.146,42.3,20.07,130,2.97,3
LINK,0.935,54.9,2.85,5,2.97,2
LINK,0.909,54.9,0.9,6,2.97,1
LINK,0.857,54.9,3.87,9,2.97,3
LINK,0.789,49.7,0.15,2,2.97,1
LINK,1.198,49.7,1.43,10,2.97,2
LINK,1.324,49.7,15.79,125,2.97,3
LINK,1.304,53.7,23.45,598,2.97,3
LINK,1.316,52.1,10.3,85,2.97,3
LINK,1.594,53.9,3.55,4,2.97,2
LINK,1.637,53.9,0.37,2,2.97,1
LINK,1.763,53.9,0.62,3,2.97,1
LINK,1.864,57.4,10.82,159,2.97,3
LINK,2.3,70.5,1.57,7,2.97,2
LINK,2.351,71.9,1.28,2,2.97,1
LINK,2.514,71.9,3.32,7,2.97,3
LINK,2.413,71.9,3.16,4,2.97,3
LINK,2.561,71.9,1.04,2,2.97,2
LINK,2.407,59.3,25.99,348,2.97,3
LINK,2.389,67.0,6.52,16,2.97,3
LINK,2.17,71.5,1.61,2,2.97,2
LINK,2.303,71.5,2.77,3,2.97,2
LINK,1.267,49.2,1.39,8,2.97,2
LINK,1.575,49.2,1.45,6,2.97,2
LINK,1.792,49.2,2.76,12,2.97,3
DOGE,,,0.0,1,2.97,1
DOGE,,,1.34,4,2.97,1
DOGE,,,8.21,27,2.97,3
DOGE,,,34.94,3249,2.97,3
DOGE,1.713,59.6,1.03,10,2.97,1
DOGE,2.094,59.6,2.84,18,2.97,2
DOGE,2.152,53.4,2.32,8,2.97,2
DOGE,2.185,53.4,1.68,16,2.97,2
DOGE,2.242,54.2,13.23,389,2.97,3
DOGE,2.84,67.5,0.0,1,2.97,1
DOGE,2.598,62.4,2.62,19,2.97,3
DOGE,2.746,62.4,3.13,30,2.97,3
DOGE,2.657,63.6,3.63,10,2.97,3
DOGE,2.963,63.6,9.24,109,2.97,3
DOGE,3.58,62.4,0.92,6,2.97,2
DOGE,2.428,59.8,1.36,9,2.97,2
DOGE,2.417,59.8,1.26,20,2.97,1
DOGE,2.599,59.9,21.56,213,2.97,3
DOGE,2.127,66.3,0.0,1,2.97,1
