deal_id,symbol,open_time,close_time,regime,layers,invested,pnl,return_pct,duration_h
195,LINK/USDC,2024-10-05T00:00:00+00:00,2024-10-14T00:00:00+00:00,LONG_DCA,3,1659.22,49.661,2.99,216.0
196,LINK/USDC,2024-10-15T00:00:00+00:00,2024-10-18T00:00:00+00:00,LONG_DCA,2,1313.31,24.0865,1.83,72.0
197,LINK/USDC,2024-10-19T00:00:00+00:00,2024-10-20T00:00:00+00:00,LONG_DCA,1,779.76,38.2369,4.9,24.0
198,LINK/USDC,2024-10-21T00:00:00+00:00,2024-10-22T00:00:00+00:00,LONG_DCA,1,791.23,17.5679,2.22,24.0
199,LINK/USDC,2024-10-23T00:00:00+00:00,2024-10-24T00:00:00+00:00,LONG_DCA,1,796.5,21.1087,2.65,24.0
200,LINK/USDC,2024-10-25T00:00:00+00:00,2024-10-29T00:00:00+00:00,LONG_DCA,1,802.83,48.3287,6.02,96.0
201,LINK/USDC,2024-10-30T00:00:00+00:00,2024-11-06T00:00:00+00:00,LONG_DCA,5,2266.55,129.6164,5.72,168.0
202,LINK/USDC,2024-11-07T00:00:00+00:00,2024-11-08T00:00:00+00:00,LONG_DCA,1,856.22,74.8085,8.74,24.0
203,LINK/USDC,2024-11-09T00:00:00+00:00,2024-11-10T00:00:00+00:00,LONG_DCA,1,878.66,29.9688,3.41,24.0
204,LINK/USDC,2024-11-11T00:00:00+00:00,2024-11-16T00:00:00+00:00,LONG_DCA,4,2248.42,71.3263,3.17,120.0
205,LINK/USDC,2024-11-17T00:00:00+00:00,2024-11-18T00:00:00+00:00,LONG_DCA,1,909.05,97.6337,10.74,24.0
206,LINK/USDC,2024-11-19T00:00:00+00:00,2024-11-21T00:00:00+00:00,LONG_DCA,2,1595.18,47.3111,2.97,48.0
207,LINK/USDC,2024-11-22T00:00:00+00:00,2024-11-23T00:00:00+00:00,LONG_DCA,1,952.53,46.5631,4.89,24.0
208,LINK/USDC,2024-11-24T00:00:00+00:00,2024-11-27T00:00:00+00:00,LONG_DCA,2,1643.05,91.9754,5.6,72.0
209,LINK/USDC,2024-11-28T00:00:00+00:00,2024-11-29T00:00:00+00:00,LONG_DCA,1,994.09,17.1873,1.73,24.0
210,LINK/USDC,2024-11-30T00:00:00+00:00,2024-12-02T00:00:00+00:00,LONG_DCA,1,999.25,327.6489,32.79,48.0
211,LINK/USDC,2024-12-03T00:00:00+00:00,2024-12-06T00:00:00+00:00,LONG_DCA,2,1865.83,171.366,9.18,72.0
212,LINK/USDC,2024-12-07T00:00:00+00:00,2024-12-08T00:00:00+00:00,LONG_DCA,1,1148.95,60.2518,5.24,24.0
213,LINK/USDC,2024-12-09T00:00:00+00:00,2024-12-11T00:00:00+00:00,LONG_DCA,1,1167.03,95.4604,8.18,48.0
214,LINK/USDC,2024-12-12T00:00:00+00:00,2024-12-19T00:00:00+00:00,LONG_DCA,4,3028.63,-459.4345,-15.17,168.0
215,LINK/USDC,2024-12-20T00:00:00+00:00,2024-12-21T00:00:00+00:00,SHORT_DCA,1,1057.84,51.1592,4.84,24.0
216,LINK/USDC,2024-12-22T00:00:00+00:00,2024-12-26T00:00:00+00:00,SHORT_DCA,3,2354.1,78.9716,3.35,96.0
